Processing video for explicit content annotations:

Finished processing.
Time: 0.384231s
	pornography: VERY_UNLIKELY
Time: 1.455313s
	pornography: VERY_UNLIKELY
Time: 2.6170780000000002s
	pornography: VERY_UNLIKELY
Time: 3.460215s
	pornography: VERY_UNLIKELY
Time: 4.336734s
	pornography: VERY_UNLIKELY
Time: 5.5204260000000005s
	pornography: VERY_UNLIKELY
Time: 6.480377s
	pornography: VERY_UNLIKELY
Time: 7.522036s
	pornography: VERY_UNLIKELY
Time: 8.636842s
	pornography: VERY_UNLIKELY
Time: 9.786409s
	pornography: UNLIKELY
Time: 10.857033s
	pornography: VERY_UNLIKELY
Time: 11.750852s
	pornography: VERY_UNLIKELY
Time: 12.583184s
	pornography: VERY_UNLIKELY
Time: 13.600388s
	pornography: VERY_UNLIKELY
Time: 14.494243s
	pornography: VERY_UNLIKELY
Time: 15.649929s
	pornography: VERY_UNLIKELY
Time: 16.847643s
	pornography: VERY_UNLIKELY
Time: 18.000908s
	pornography: VERY_UNLIKELY
Time: 18.976515s
	pornography: VERY_UNLIKELY
Time: 19.806469s
	pornography: VERY_UNLIKELY
Time: 20.724761s
	pornography: VERY_UNLIKELY
Time: 21.598926s
	pornography: VERY_UNLIKELY
Time: 22.478442s
	pornography: VERY_UNLIKELY
Time: 23.483346s
	pornography: UNLIKELY
Time: 24.653431s
	pornography: VERY_UNLIKELY
Time: 25.819245s
	pornography: VERY_UNLIKELY
Time: 26.704327s
	pornography: VERY_UNLIKELY
Time: 27.5389s
	pornography: VERY_UNLIKELY
Time: 28.469087s
	pornography: VERY_UNLIKELY
Time: 29.577952s
	pornography: VERY_UNLIKELY
Time: 30.455272s
	pornography: UNLIKELY
Time: 31.270088s
	pornography: VERY_UNLIKELY
Time: 32.135231s
	pornography: VERY_UNLIKELY
Time: 33.21118s
	pornography: VERY_UNLIKELY
Time: 34.215114s
	pornography: UNLIKELY
Time: 35.234439s
	pornography: VERY_UNLIKELY
Time: 36.267386s
	pornography: VERY_UNLIKELY
Time: 37.248431s
	pornography: UNLIKELY
Time: 38.396053s
	pornography: VERY_UNLIKELY
Time: 39.466398s
	pornography: VERY_UNLIKELY
Time: 40.506205s
	pornography: VERY_UNLIKELY
Time: 41.421199s
	pornography: VERY_UNLIKELY
Time: 42.489786s
	pornography: VERY_UNLIKELY
Time: 43.401352s
	pornography: VERY_UNLIKELY
Time: 44.300721s
	pornography: VERY_UNLIKELY
Time: 45.408829s
	pornography: VERY_UNLIKELY
Time: 46.267384s
	pornography: VERY_UNLIKELY
Time: 47.085381s
	pornography: VERY_UNLIKELY
Time: 48.001599s
	pornography: VERY_UNLIKELY
Time: 49.098477s
	pornography: VERY_UNLIKELY
Time: 50.035598s
	pornography: VERY_UNLIKELY
Time: 51.046322s
	pornography: VERY_UNLIKELY
Time: 52.236842s
	pornography: VERY_UNLIKELY
Time: 53.278013s
	pornography: VERY_UNLIKELY
Time: 54.26367s
	pornography: VERY_UNLIKELY
Time: 55.189595s
	pornography: VERY_UNLIKELY
Time: 56.293991s
	pornography: VERY_UNLIKELY
Time: 57.376608s
	pornography: VERY_UNLIKELY
Time: 58.400328s
	pornography: VERY_UNLIKELY
Time: 59.365907s
	pornography: VERY_UNLIKELY
Time: 60.262462s
	pornography: VERY_UNLIKELY
Time: 61.168115s
	pornography: VERY_UNLIKELY
Time: 62.154586s
	pornography: VERY_UNLIKELY
Time: 63.204505s
	pornography: VERY_UNLIKELY
Time: 64.055293s
	pornography: VERY_UNLIKELY
Time: 65.176906s
	pornography: VERY_UNLIKELY
Time: 66.215284s
	pornography: VERY_UNLIKELY
Time: 67.25973s
	pornography: VERY_UNLIKELY
Time: 68.129427s
	pornography: VERY_UNLIKELY
Time: 69.198951s
	pornography: UNLIKELY
Time: 70.118505s
	pornography: UNLIKELY
Time: 71.178813s
	pornography: VERY_UNLIKELY
Time: 72.021964s
	pornography: VERY_UNLIKELY
Time: 73.173252s
	pornography: VERY_UNLIKELY
Time: 74.113425s
	pornography: VERY_UNLIKELY
Time: 75.285607s
	pornography: VERY_UNLIKELY
Time: 76.354345s
	pornography: VERY_UNLIKELY
Time: 77.431223s
	pornography: VERY_UNLIKELY
Time: 78.39956s
	pornography: VERY_UNLIKELY
Time: 79.291494s
	pornography: VERY_UNLIKELY
Time: 80.201639s
	pornography: VERY_UNLIKELY
Time: 81.314886s
	pornography: VERY_UNLIKELY
Time: 82.398626s
	pornography: VERY_UNLIKELY
Time: 83.514804s
	pornography: VERY_UNLIKELY
Time: 84.579998s
	pornography: VERY_UNLIKELY
Time: 85.536152s
	pornography: VERY_UNLIKELY
Time: 86.657888s
	pornography: VERY_UNLIKELY
Time: 87.482609s
	pornography: VERY_UNLIKELY
Time: 88.405652s
	pornography: VERY_UNLIKELY
Time: 89.593247s
	pornography: VERY_UNLIKELY
Time: 90.573647s
	pornography: VERY_UNLIKELY
Time: 91.657171s
	pornography: UNLIKELY
Time: 92.619583s
	pornography: VERY_UNLIKELY
Time: 93.717637s
	pornography: UNLIKELY
Time: 94.783794s
	pornography: UNLIKELY
Time: 95.665716s
	pornography: UNLIKELY
Time: 96.646672s
	pornography: VERY_UNLIKELY
Time: 97.522559s
	pornography: UNLIKELY
Time: 98.518478s
	pornography: VERY_UNLIKELY
Time: 99.609591s
	pornography: VERY_UNLIKELY
Time: 100.617372s
	pornography: UNLIKELY
Time: 101.472052s
	pornography: VERY_UNLIKELY
Time: 102.372471s
	pornography: UNLIKELY
Time: 103.275993s
	pornography: VERY_UNLIKELY
Time: 104.092914s
