Processing video for explicit content annotations:

Finished processing.
Time: 0.628847s
	pornography: VERY_UNLIKELY
Time: 1.610563s
	pornography: VERY_UNLIKELY
Time: 2.411088s
	pornography: UNLIKELY
Time: 3.344945s
	pornography: UNLIKELY
Time: 4.495992s
	pornography: VERY_UNLIKELY
Time: 5.366727s
	pornography: UNLIKELY
Time: 6.336509s
	pornography: VERY_UNLIKELY
Time: 7.201459s
	pornography: VERY_UNLIKELY
Time: 8.314482s
	pornography: UNLIKELY
Time: 9.345274s
	pornography: UNLIKELY
Time: 10.307089s
	pornography: UNLIKELY
Time: 11.248621s
	pornography: VERY_UNLIKELY
Time: 12.192284s
	pornography: VERY_UNLIKELY
Time: 13.187709s
	pornography: VERY_UNLIKELY
Time: 14.320715s
	pornography: VERY_UNLIKELY
Time: 15.327685s
	pornography: VERY_UNLIKELY
Time: 16.477049s
	pornography: VERY_UNLIKELY
Time: 17.314203s
	pornography: VERY_UNLIKELY
Time: 18.506369s
	pornography: VERY_UNLIKELY
Time: 19.646716s
	pornography: VERY_UNLIKELY
Time: 20.45505s
	pornography: VERY_UNLIKELY
Time: 21.61131s
	pornography: VERY_UNLIKELY
Time: 22.636526s
	pornography: VERY_UNLIKELY
Time: 23.60228s
	pornography: VERY_UNLIKELY
Time: 24.528661s
	pornography: VERY_UNLIKELY
Time: 25.716916s
	pornography: VERY_UNLIKELY
Time: 26.869625s
	pornography: VERY_UNLIKELY
Time: 27.959954s
	pornography: VERY_UNLIKELY
Time: 29.105235s
	pornography: VERY_UNLIKELY
Time: 30.133249s
	pornography: UNLIKELY
Time: 31.27748s
	pornography: UNLIKELY
Time: 32.448569s
	pornography: UNLIKELY
Time: 33.641451s
	pornography: UNLIKELY
Time: 34.808452s
	pornography: VERY_UNLIKELY
Time: 35.998395s
	pornography: VERY_UNLIKELY
Time: 37.156886s
	pornography: UNLIKELY
Time: 38.309352s
	pornography: UNLIKELY
Time: 39.345574s
	pornography: UNLIKELY
Time: 40.298003s
	pornography: UNLIKELY
Time: 41.105162s
	pornography: UNLIKELY
Time: 41.941759s
	pornography: UNLIKELY
Time: 42.909406s
	pornography: UNLIKELY
Time: 43.823622s
	pornography: UNLIKELY
Time: 44.986026s
	pornography: VERY_UNLIKELY
Time: 45.969926s
	pornography: UNLIKELY
Time: 47.090746s
	pornography: UNLIKELY
Time: 48.13838s
	pornography: UNLIKELY
Time: 49.301007s
	pornography: UNLIKELY
Time: 50.396299s
	pornography: UNLIKELY
