Processing video for explicit content annotations:

Finished processing.
Time: 0.381422s
	pornography: VERY_UNLIKELY
Time: 1.218107s
	pornography: VERY_UNLIKELY
Time: 2.191528s
	pornography: VERY_UNLIKELY
Time: 3.262257s
	pornography: UNLIKELY
Time: 4.452568s
	pornography: UNLIKELY
Time: 5.537056s
	pornography: UNLIKELY
Time: 6.445094s
	pornography: VERY_UNLIKELY
Time: 7.371766s
	pornography: VERY_UNLIKELY
Time: 8.408354s
	pornography: VERY_UNLIKELY
Time: 9.437054s
	pornography: VERY_UNLIKELY
Time: 10.432101s
	pornography: VERY_UNLIKELY
Time: 11.477806s
	pornography: VERY_UNLIKELY
Time: 12.287266s
	pornography: UNLIKELY
Time: 13.137941s
	pornography: VERY_UNLIKELY
Time: 14.211564s
	pornography: VERY_UNLIKELY
Time: 15.384343s
	pornography: UNLIKELY
Time: 16.344334s
	pornography: VERY_UNLIKELY
Time: 17.450479s
	pornography: UNLIKELY
Time: 18.568022s
	pornography: VERY_UNLIKELY
Time: 19.386055s
	pornography: VERY_UNLIKELY
Time: 20.394744s
	pornography: VERY_UNLIKELY
Time: 21.583803s
	pornography: UNLIKELY
Time: 22.715427s
	pornography: UNLIKELY
Time: 23.85162s
	pornography: UNLIKELY
Time: 24.810461s
	pornography: VERY_UNLIKELY
Time: 25.853435s
	pornography: VERY_UNLIKELY
Time: 26.999696s
	pornography: POSSIBLE
Time: 27.985187s
	pornography: UNLIKELY
Time: 28.946593s
	pornography: UNLIKELY
Time: 30.074244s
	pornography: VERY_UNLIKELY
Time: 31.126506s
	pornography: UNLIKELY
Time: 32.019535s
	pornography: UNLIKELY
Time: 32.958184s
	pornography: UNLIKELY
Time: 34.065392s
	pornography: UNLIKELY
Time: 35.104504s
	pornography: VERY_UNLIKELY
Time: 36.117778s
	pornography: UNLIKELY
Time: 36.983175s
	pornography: VERY_UNLIKELY
Time: 37.789788s
	pornography: UNLIKELY
Time: 38.809873s
	pornography: UNLIKELY
Time: 39.657038s
	pornography: UNLIKELY
Time: 40.771037s
	pornography: UNLIKELY
Time: 41.591279s
	pornography: VERY_UNLIKELY
Time: 42.702421s
	pornography: UNLIKELY
Time: 43.598202s
	pornography: UNLIKELY
Time: 44.601991s
	pornography: UNLIKELY
Time: 45.734488s
	pornography: UNLIKELY
Time: 46.607019s
	pornography: VERY_UNLIKELY
Time: 47.78558s
	pornography: UNLIKELY
Time: 48.857927s
	pornography: VERY_UNLIKELY
Time: 49.902118s
	pornography: UNLIKELY
Time: 50.90559s
	pornography: POSSIBLE
Time: 51.842615s
	pornography: VERY_UNLIKELY
Time: 52.774354s
	pornography: VERY_UNLIKELY
Time: 53.72662s
	pornography: VERY_UNLIKELY
Time: 54.690322s
	pornography: UNLIKELY
Time: 55.65685s
	pornography: VERY_UNLIKELY
Time: 56.632845s
	pornography: UNLIKELY
Time: 57.51831s
	pornography: VERY_UNLIKELY
Time: 58.548897s
	pornography: VERY_UNLIKELY
Time: 59.35926s
	pornography: UNLIKELY
Time: 60.484509s
	pornography: UNLIKELY
Time: 61.597064s
	pornography: POSSIBLE
Time: 62.690094s
	pornography: POSSIBLE
Time: 63.756737s
	pornography: VERY_UNLIKELY
Time: 64.610136s
	pornography: UNLIKELY
Time: 65.805258s
	pornography: VERY_UNLIKELY
Time: 66.765343s
	pornography: VERY_UNLIKELY
Time: 67.577968s
	pornography: VERY_UNLIKELY
Time: 68.46952s
	pornography: VERY_UNLIKELY
Time: 69.47988s
	pornography: VERY_UNLIKELY
Time: 70.533992s
	pornography: VERY_UNLIKELY
Time: 71.674807s
	pornography: VERY_UNLIKELY
Time: 72.703438s
	pornography: VERY_UNLIKELY
Time: 73.510765s
	pornography: VERY_UNLIKELY
Time: 74.32359s
	pornography: UNLIKELY
Time: 75.274486s
	pornography: UNLIKELY
Time: 76.282088s
	pornography: POSSIBLE
Time: 77.322189s
	pornography: UNLIKELY
Time: 78.239998s
	pornography: UNLIKELY
Time: 79.380393s
	pornography: VERY_UNLIKELY
Time: 80.463667s
	pornography: VERY_UNLIKELY
Time: 81.282166s
	pornography: VERY_UNLIKELY
Time: 82.206455s
	pornography: UNLIKELY
Time: 83.385148s
	pornography: VERY_UNLIKELY
Time: 84.501605s
	pornography: VERY_UNLIKELY
Time: 85.36714s
	pornography: VERY_UNLIKELY
Time: 86.216738s
	pornography: VERY_UNLIKELY
Time: 87.049789s
	pornography: VERY_UNLIKELY
Time: 88.234122s
	pornography: VERY_UNLIKELY
Time: 89.127923s
	pornography: VERY_UNLIKELY
Time: 90.25844s
	pornography: VERY_UNLIKELY
Time: 91.10641s
	pornography: VERY_UNLIKELY
Time: 91.94203s
	pornography: VERY_UNLIKELY
Time: 92.924739s
	pornography: VERY_UNLIKELY
Time: 93.908261s
	pornography: VERY_UNLIKELY
Time: 94.794014s
	pornography: VERY_UNLIKELY
Time: 95.989386s
	pornography: VERY_UNLIKELY
Time: 97.184854s
	pornography: VERY_UNLIKELY
Time: 98.158338s
	pornography: VERY_UNLIKELY
Time: 99.12197s
	pornography: VERY_UNLIKELY
Time: 100.183014s
	pornography: VERY_UNLIKELY
Time: 101.266754s
	pornography: VERY_UNLIKELY
Time: 102.216189s
	pornography: VERY_UNLIKELY
Time: 103.249238s
	pornography: VERY_UNLIKELY
Time: 104.223567s
	pornography: VERY_UNLIKELY
Time: 105.375313s
	pornography: VERY_UNLIKELY
Time: 106.377251s
	pornography: UNLIKELY
Time: 107.328958s
	pornography: VERY_UNLIKELY
Time: 108.261214s
	pornography: VERY_UNLIKELY
Time: 109.349006s
	pornography: VERY_UNLIKELY
Time: 110.260476s
	pornography: VERY_UNLIKELY
Time: 111.36912s
	pornography: VERY_UNLIKELY
Time: 112.347439s
	pornography: VERY_UNLIKELY
Time: 113.492137s
	pornography: VERY_UNLIKELY
Time: 114.497352s
	pornography: VERY_UNLIKELY
Time: 115.303016s
	pornography: VERY_UNLIKELY
Time: 116.462768s
	pornography: UNLIKELY
Time: 117.578524s
	pornography: VERY_UNLIKELY
Time: 118.725145s
	pornography: VERY_UNLIKELY
Time: 119.823839s
	pornography: VERY_UNLIKELY
Time: 120.764397s
	pornography: VERY_UNLIKELY
Time: 121.583658s
	pornography: VERY_UNLIKELY
Time: 122.423969s
	pornography: VERY_UNLIKELY
Time: 123.611376s
	pornography: VERY_UNLIKELY
Time: 124.727829s
	pornography: UNLIKELY
Time: 125.851199s
	pornography: LIKELY
Time: 126.687521s
	pornography: LIKELY
Time: 127.535689s
	pornography: POSSIBLE
Time: 128.344246s
	pornography: VERY_LIKELY
Time: 129.492957s
	pornography: UNLIKELY
Time: 130.297326s
	pornography: UNLIKELY
Time: 131.460013s
	pornography: UNLIKELY
Time: 132.626826s
	pornography: POSSIBLE
Time: 133.700285s
	pornography: UNLIKELY
Time: 134.886182s
	pornography: UNLIKELY
Time: 136.068574s
	pornography: POSSIBLE
Time: 136.996331s
	pornography: POSSIBLE
Time: 137.91319s
	pornography: VERY_UNLIKELY
Time: 139.059166s
	pornography: VERY_UNLIKELY
Time: 140.074376s
	pornography: VERY_UNLIKELY
Time: 141.003022s
	pornography: VERY_UNLIKELY
Time: 141.880064s
	pornography: VERY_UNLIKELY
Time: 143.010993s
	pornography: VERY_UNLIKELY
Time: 143.868897s
	pornography: VERY_UNLIKELY
Time: 144.902852s
	pornography: VERY_UNLIKELY
Time: 146.097129s
	pornography: VERY_UNLIKELY
Time: 147.281464s
	pornography: VERY_UNLIKELY
Time: 148.274574s
	pornography: VERY_UNLIKELY
Time: 149.336794s
	pornography: VERY_UNLIKELY
Time: 150.171313s
	pornography: VERY_UNLIKELY
Time: 151.180636s
	pornography: VERY_UNLIKELY
Time: 152.001984s
	pornography: VERY_UNLIKELY
Time: 153.015051s
	pornography: VERY_UNLIKELY
Time: 153.978424s
	pornography: VERY_UNLIKELY
Time: 154.795893s
	pornography: VERY_UNLIKELY
Time: 155.843534s
	pornography: VERY_UNLIKELY
Time: 157.028359s
	pornography: VERY_UNLIKELY
Time: 158.059164s
	pornography: UNLIKELY
Time: 159.082011s
	pornography: VERY_UNLIKELY
Time: 159.885908s
	pornography: VERY_UNLIKELY
Time: 160.86696s
	pornography: VERY_UNLIKELY
