Processing video for explicit content annotations:

Finished processing.
Time: 0.31551s
	pornography: VERY_UNLIKELY
Time: 1.266137s
	pornography: VERY_UNLIKELY
Time: 2.127759s
	pornography: VERY_UNLIKELY
Time: 3.254482s
	pornography: VERY_UNLIKELY
Time: 4.125022s
	pornography: VERY_UNLIKELY
Time: 5.017902s
	pornography: VERY_UNLIKELY
Time: 6.042214s
	pornography: VERY_UNLIKELY
Time: 7.226729s
	pornography: VERY_UNLIKELY
Time: 8.095642s
	pornography: VERY_UNLIKELY
Time: 9.079991s
	pornography: VERY_UNLIKELY
Time: 9.929359s
	pornography: VERY_UNLIKELY
Time: 10.788299s
	pornography: VERY_UNLIKELY
Time: 11.779704s
	pornography: VERY_UNLIKELY
Time: 12.751834s
	pornography: VERY_UNLIKELY
Time: 13.671578s
	pornography: VERY_UNLIKELY
Time: 14.740798999999999s
	pornography: VERY_UNLIKELY
Time: 15.732047s
	pornography: VERY_UNLIKELY
Time: 16.73979s
	pornography: UNLIKELY
Time: 17.842478s
	pornography: VERY_UNLIKELY
Time: 18.927643s
	pornography: VERY_UNLIKELY
Time: 19.922042s
	pornography: VERY_UNLIKELY
Time: 20.893067s
	pornography: VERY_UNLIKELY
Time: 21.745981s
	pornography: VERY_UNLIKELY
Time: 22.575054s
	pornography: VERY_UNLIKELY
Time: 23.499288s
	pornography: VERY_UNLIKELY
Time: 24.494434s
	pornography: VERY_UNLIKELY
Time: 25.392573s
	pornography: VERY_UNLIKELY
Time: 26.386804s
	pornography: VERY_UNLIKELY
Time: 27.331247s
	pornography: VERY_UNLIKELY
Time: 28.397437s
	pornography: VERY_UNLIKELY
Time: 29.580299s
	pornography: VERY_UNLIKELY
Time: 30.750516s
	pornography: UNLIKELY
Time: 31.828634s
	pornography: UNLIKELY
Time: 32.653229s
	pornography: VERY_UNLIKELY
Time: 33.7846s
	pornography: VERY_UNLIKELY
Time: 34.619192s
	pornography: VERY_UNLIKELY
Time: 35.574698s
	pornography: VERY_UNLIKELY
Time: 36.692326s
	pornography: VERY_UNLIKELY
Time: 37.859453s
	pornography: VERY_UNLIKELY
Time: 38.931203s
	pornography: VERY_UNLIKELY
Time: 40.060055s
	pornography: UNLIKELY
Time: 41.217472s
	pornography: UNLIKELY
Time: 42.036817s
	pornography: VERY_UNLIKELY
Time: 43.011938s
	pornography: UNLIKELY
Time: 44.030794s
	pornography: UNLIKELY
Time: 45.202713s
	pornography: VERY_UNLIKELY
Time: 46.255404s
	pornography: VERY_UNLIKELY
Time: 47.312371s
	pornography: UNLIKELY
Time: 48.291076s
	pornography: UNLIKELY
Time: 49.120499s
	pornography: UNLIKELY
Time: 49.99772s
	pornography: UNLIKELY
Time: 51.070303s
	pornography: UNLIKELY
Time: 52.25733s
	pornography: UNLIKELY
Time: 53.413808s
	pornography: UNLIKELY
Time: 54.350542s
	pornography: UNLIKELY
Time: 55.234715s
	pornography: UNLIKELY
Time: 56.050369s
	pornography: UNLIKELY
Time: 57.213452s
	pornography: UNLIKELY
Time: 58.289259s
	pornography: UNLIKELY
Time: 59.239224s
	pornography: UNLIKELY
Time: 60.382612s
	pornography: UNLIKELY
Time: 61.283883s
	pornography: UNLIKELY
Time: 62.354398s
	pornography: VERY_UNLIKELY
Time: 63.439898s
	pornography: UNLIKELY
Time: 64.347308s
	pornography: POSSIBLE
Time: 65.28863s
	pornography: UNLIKELY
Time: 66.247122s
	pornography: UNLIKELY
Time: 67.428765s
	pornography: POSSIBLE
Time: 68.479018s
	pornography: UNLIKELY
Time: 69.591155s
	pornography: UNLIKELY
Time: 70.536264s
	pornography: UNLIKELY
Time: 71.684512s
	pornography: UNLIKELY
Time: 72.686103s
	pornography: UNLIKELY
Time: 73.582044s
	pornography: UNLIKELY
Time: 74.747854s
	pornography: UNLIKELY
Time: 75.615667s
	pornography: UNLIKELY
Time: 76.427174s
	pornography: UNLIKELY
Time: 77.385542s
	pornography: UNLIKELY
Time: 78.497368s
	pornography: UNLIKELY
Time: 79.605877s
	pornography: VERY_UNLIKELY
Time: 80.674472s
	pornography: UNLIKELY
Time: 81.61333s
	pornography: UNLIKELY
Time: 82.795423s
	pornography: VERY_UNLIKELY
Time: 83.800414s
	pornography: UNLIKELY
Time: 84.731989s
	pornography: VERY_UNLIKELY
Time: 85.604786s
	pornography: UNLIKELY
Time: 86.601937s
	pornography: VERY_UNLIKELY
Time: 87.607393s
	pornography: UNLIKELY
Time: 88.615706s
	pornography: POSSIBLE
Time: 89.563468s
	pornography: UNLIKELY
Time: 90.517006s
	pornography: UNLIKELY
Time: 91.377387s
	pornography: VERY_UNLIKELY
Time: 92.522998s
	pornography: VERY_UNLIKELY
Time: 93.563194s
	pornography: UNLIKELY
Time: 94.446972s
	pornography: UNLIKELY
Time: 95.302956s
	pornography: UNLIKELY
Time: 96.411223s
	pornography: VERY_UNLIKELY
Time: 97.603112s
	pornography: VERY_UNLIKELY
Time: 98.60539s
	pornography: VERY_UNLIKELY
Time: 99.473294s
	pornography: VERY_UNLIKELY
Time: 100.561895s
	pornography: VERY_UNLIKELY
Time: 101.632404s
	pornography: UNLIKELY
Time: 102.58938s
	pornography: UNLIKELY
Time: 103.398406s
	pornography: UNLIKELY
Time: 104.341548s
	pornography: UNLIKELY
Time: 105.223259s
	pornography: UNLIKELY
Time: 106.380245s
	pornography: UNLIKELY
Time: 107.486757s
	pornography: UNLIKELY
Time: 108.634146s
	pornography: POSSIBLE
Time: 109.498037s
	pornography: UNLIKELY
Time: 110.423053s
	pornography: UNLIKELY
Time: 111.252414s
	pornography: UNLIKELY
Time: 112.15996s
	pornography: VERY_UNLIKELY
Time: 113.252225s
	pornography: VERY_UNLIKELY
Time: 114.212743s
	pornography: VERY_UNLIKELY
Time: 115.342118s
	pornography: VERY_UNLIKELY
Time: 116.311407s
	pornography: VERY_UNLIKELY
Time: 117.113495s
	pornography: VERY_UNLIKELY
Time: 118.273505s
	pornography: VERY_UNLIKELY
Time: 119.239317s
	pornography: VERY_UNLIKELY
Time: 120.24748s
