Processing video for explicit content annotations:

Finished processing.
Time: 0.345989s
	pornography: VERY_UNLIKELY
Time: 1.219449s
	pornography: VERY_UNLIKELY
Time: 2.218914s
	pornography: VERY_UNLIKELY
Time: 3.122649s
	pornography: VERY_UNLIKELY
Time: 4.228548s
	pornography: VERY_UNLIKELY
Time: 5.065603s
	pornography: VERY_UNLIKELY
Time: 6.007654s
	pornography: VERY_UNLIKELY
Time: 6.814258s
	pornography: VERY_UNLIKELY
Time: 7.652704s
	pornography: VERY_UNLIKELY
Time: 8.502995s
	pornography: VERY_UNLIKELY
Time: 9.341406s
	pornography: VERY_UNLIKELY
Time: 10.294265s
	pornography: VERY_UNLIKELY
Time: 11.214423s
	pornography: UNLIKELY
Time: 12.110032s
	pornography: VERY_UNLIKELY
Time: 13.101629s
	pornography: UNLIKELY
Time: 13.958861s
	pornography: UNLIKELY
Time: 15.093457s
	pornography: VERY_UNLIKELY
Time: 15.973254s
	pornography: VERY_UNLIKELY
Time: 17.137598s
	pornography: VERY_UNLIKELY
Time: 18.089752s
	pornography: VERY_UNLIKELY
Time: 18.92063s
	pornography: VERY_UNLIKELY
Time: 19.754982s
	pornography: UNLIKELY
Time: 20.57931s
	pornography: UNLIKELY
Time: 21.564345s
	pornography: UNLIKELY
Time: 22.686593s
	pornography: VERY_UNLIKELY
Time: 23.539155s
	pornography: UNLIKELY
Time: 24.340083s
	pornography: UNLIKELY
Time: 25.242105s
	pornography: VERY_UNLIKELY
Time: 26.282397s
	pornography: UNLIKELY
Time: 27.242821s
	pornography: UNLIKELY
Time: 28.061702s
	pornography: UNLIKELY
Time: 29.108535s
	pornography: UNLIKELY
Time: 30.147515s
	pornography: POSSIBLE
Time: 31.190913s
	pornography: VERY_UNLIKELY
Time: 32.160356s
	pornography: UNLIKELY
Time: 32.981106s
	pornography: UNLIKELY
Time: 33.950894s
	pornography: VERY_UNLIKELY
Time: 35.061297s
	pornography: VERY_UNLIKELY
Time: 35.972032s
	pornography: VERY_UNLIKELY
Time: 36.870735s
	pornography: VERY_UNLIKELY
Time: 37.741229s
	pornography: VERY_UNLIKELY
Time: 38.755156s
	pornography: VERY_UNLIKELY
Time: 39.702233s
	pornography: UNLIKELY
Time: 40.594494s
	pornography: VERY_UNLIKELY
Time: 41.643267s
	pornography: UNLIKELY
Time: 42.532564s
	pornography: VERY_UNLIKELY
Time: 43.708722s
	pornography: VERY_UNLIKELY
Time: 44.562053s
	pornography: UNLIKELY
Time: 45.622009s
	pornography: UNLIKELY
Time: 46.810093s
	pornography: VERY_UNLIKELY
Time: 47.839524s
	pornography: VERY_UNLIKELY
Time: 48.88201s
	pornography: VERY_UNLIKELY
Time: 49.941919s
	pornography: UNLIKELY
Time: 51.031177s
	pornography: UNLIKELY
Time: 52.041633s
	pornography: VERY_UNLIKELY
Time: 53.095608s
	pornography: VERY_UNLIKELY
Time: 53.991253s
	pornography: VERY_UNLIKELY
Time: 55.117218s
	pornography: VERY_UNLIKELY
Time: 56.051802s
	pornography: VERY_UNLIKELY
Time: 57.112407s
	pornography: VERY_UNLIKELY
Time: 58.004003s
	pornography: VERY_UNLIKELY
Time: 59.177895s
	pornography: VERY_UNLIKELY
Time: 60.209976s
	pornography: VERY_UNLIKELY
Time: 61.080742s
	pornography: VERY_UNLIKELY
Time: 61.932551s
	pornography: VERY_UNLIKELY
Time: 62.883835s
	pornography: VERY_UNLIKELY
Time: 63.875681s
	pornography: VERY_UNLIKELY
Time: 64.777056s
	pornography: VERY_UNLIKELY
Time: 65.883213s
	pornography: VERY_UNLIKELY
Time: 66.761675s
	pornography: VERY_UNLIKELY
Time: 67.953995s
	pornography: VERY_UNLIKELY
Time: 68.849606s
	pornography: VERY_UNLIKELY
Time: 69.890146s
	pornography: VERY_UNLIKELY
Time: 70.739155s
	pornography: VERY_UNLIKELY
Time: 71.56908s
	pornography: UNLIKELY
Time: 72.389743s
	pornography: UNLIKELY
Time: 73.587442s
	pornography: UNLIKELY
Time: 74.494468s
	pornography: UNLIKELY
Time: 75.460044s
	pornography: UNLIKELY
Time: 76.29953s
	pornography: UNLIKELY
Time: 77.189896s
	pornography: UNLIKELY
Time: 78.299554s
	pornography: UNLIKELY
Time: 79.293815s
	pornography: UNLIKELY
Time: 80.241556s
	pornography: VERY_UNLIKELY
Time: 81.073878s
	pornography: VERY_UNLIKELY
Time: 82.138289s
	pornography: VERY_UNLIKELY
Time: 83.045939s
	pornography: VERY_UNLIKELY
Time: 83.955089s
	pornography: UNLIKELY
Time: 85.153035s
	pornography: UNLIKELY
Time: 85.957151s
	pornography: UNLIKELY
Time: 86.905665s
	pornography: UNLIKELY
Time: 88.004025s
	pornography: POSSIBLE
Time: 88.842938s
	pornography: POSSIBLE
Time: 90.013497s
	pornography: POSSIBLE
Time: 91.145409s
	pornography: LIKELY
Time: 92.125625s
	pornography: LIKELY
Time: 93.267043s
	pornography: POSSIBLE
Time: 94.345103s
	pornography: UNLIKELY
Time: 95.401086s
	pornography: UNLIKELY
Time: 96.282535s
	pornography: VERY_UNLIKELY
Time: 97.37523s
	pornography: VERY_UNLIKELY
Time: 98.549419s
	pornography: UNLIKELY
Time: 99.588811s
	pornography: UNLIKELY
Time: 100.616955s
	pornography: UNLIKELY
Time: 101.642826s
	pornography: UNLIKELY
Time: 102.553358s
	pornography: UNLIKELY
Time: 103.527729s
	pornography: UNLIKELY
Time: 104.652635s
	pornography: UNLIKELY
Time: 105.688027s
	pornography: UNLIKELY
Time: 106.543195s
	pornography: UNLIKELY
Time: 107.673598s
	pornography: UNLIKELY
Time: 108.619062s
	pornography: UNLIKELY
Time: 109.469395s
	pornography: UNLIKELY
Time: 110.604134s
	pornography: UNLIKELY
Time: 111.798186s
	pornography: UNLIKELY
Time: 112.712659s
	pornography: UNLIKELY
Time: 113.65573499999999s
	pornography: UNLIKELY
Time: 114.777998s
	pornography: UNLIKELY
Time: 115.685199s
	pornography: UNLIKELY
Time: 116.72234s
	pornography: UNLIKELY
Time: 117.707548s
	pornography: UNLIKELY
Time: 118.547982s
	pornography: UNLIKELY
Time: 119.468761s
	pornography: UNLIKELY
Time: 120.609798s
	pornography: UNLIKELY
Time: 121.496036s
	pornography: VERY_UNLIKELY
Time: 122.500038s
	pornography: UNLIKELY
Time: 123.452994s
	pornography: VERY_UNLIKELY
Time: 124.409488s
	pornography: VERY_UNLIKELY
Time: 125.384925s
	pornography: POSSIBLE
Time: 126.197474s
	pornography: UNLIKELY
Time: 127.073201s
	pornography: UNLIKELY
Time: 128.072442s
	pornography: UNLIKELY
Time: 129.104232s
	pornography: UNLIKELY
Time: 130.298729s
	pornography: UNLIKELY
Time: 131.145013s
	pornography: UNLIKELY
Time: 132.254385s
	pornography: UNLIKELY
Time: 133.315784s
	pornography: UNLIKELY
Time: 134.346465s
	pornography: VERY_UNLIKELY
Time: 135.525068s
	pornography: POSSIBLE
Time: 136.391681s
	pornography: UNLIKELY
Time: 137.320406s
	pornography: VERY_UNLIKELY
Time: 138.227166s
	pornography: UNLIKELY
Time: 139.391023s
	pornography: VERY_UNLIKELY
Time: 140.194893s
	pornography: VERY_UNLIKELY
Time: 141.039356s
	pornography: VERY_UNLIKELY
Time: 142.121291s
	pornography: UNLIKELY
Time: 143.313711s
	pornography: UNLIKELY
Time: 144.508309s
	pornography: UNLIKELY
Time: 145.546658s
	pornography: LIKELY
Time: 146.679426s
	pornography: LIKELY
Time: 147.683812s
	pornography: UNLIKELY
Time: 148.84283s
	pornography: UNLIKELY
Time: 149.993537s
	pornography: UNLIKELY
Time: 151.127309s
	pornography: UNLIKELY
Time: 151.975448s
	pornography: UNLIKELY
Time: 153.164342s
	pornography: UNLIKELY
Time: 153.992352s
	pornography: VERY_UNLIKELY
Time: 154.843645s
	pornography: UNLIKELY
Time: 155.747619s
	pornography: UNLIKELY
Time: 156.681576s
	pornography: UNLIKELY
Time: 157.679807s
	pornography: UNLIKELY
Time: 158.598104s
	pornography: UNLIKELY
Time: 159.644791s
	pornography: VERY_UNLIKELY
Time: 160.742078s
	pornography: UNLIKELY
Time: 161.635738s
	pornography: UNLIKELY
Time: 162.741759s
	pornography: UNLIKELY
Time: 163.873329s
	pornography: VERY_UNLIKELY
Time: 164.774817s
	pornography: UNLIKELY
Time: 165.610795s
	pornography: POSSIBLE
Time: 166.584981s
	pornography: UNLIKELY
Time: 167.549656s
	pornography: UNLIKELY
Time: 168.730513s
	pornography: UNLIKELY
Time: 169.680423s
	pornography: UNLIKELY
Time: 170.542852s
	pornography: POSSIBLE
Time: 171.343174s
	pornography: UNLIKELY
Time: 172.334227s
	pornography: UNLIKELY
Time: 173.186267s
	pornography: POSSIBLE
Time: 174.295502s
	pornography: POSSIBLE
Time: 175.098011s
	pornography: POSSIBLE
Time: 176.283726s
	pornography: UNLIKELY
Time: 177.473062s
	pornography: UNLIKELY
Time: 178.666756s
	pornography: UNLIKELY
Time: 179.702245s
	pornography: UNLIKELY
Time: 180.503176s
	pornography: UNLIKELY
Time: 181.357951s
	pornography: UNLIKELY
Time: 182.382436s
	pornography: UNLIKELY
Time: 183.337805s
	pornography: UNLIKELY
Time: 184.475407s
	pornography: UNLIKELY
Time: 185.600792s
	pornography: UNLIKELY
Time: 186.565556s
	pornography: UNLIKELY
Time: 187.723028s
	pornography: UNLIKELY
Time: 188.864521s
	pornography: UNLIKELY
Time: 190.016844s
	pornography: UNLIKELY
Time: 190.891539s
	pornography: UNLIKELY
Time: 192.008332s
	pornography: UNLIKELY
Time: 192.945088s
	pornography: UNLIKELY
Time: 193.997928s
	pornography: POSSIBLE
Time: 195.072584s
	pornography: VERY_UNLIKELY
Time: 195.937043s
	pornography: UNLIKELY
Time: 196.807917s
	pornography: UNLIKELY
Time: 197.812925s
	pornography: UNLIKELY
Time: 198.789384s
	pornography: UNLIKELY
Time: 199.815611s
	pornography: UNLIKELY
Time: 200.962986s
	pornography: VERY_UNLIKELY
Time: 201.905297s
	pornography: UNLIKELY
Time: 203.012222s
	pornography: UNLIKELY
Time: 204.202289s
	pornography: UNLIKELY
Time: 205.223543s
	pornography: POSSIBLE
Time: 206.047973s
	pornography: UNLIKELY
Time: 207.028197s
	pornography: VERY_UNLIKELY
Time: 208.006175s
	pornography: UNLIKELY
Time: 209.107686s
	pornography: UNLIKELY
Time: 210.180565s
	pornography: UNLIKELY
Time: 211.218434s
	pornography: UNLIKELY
Time: 212.103738s
	pornography: UNLIKELY
Time: 212.959998s
	pornography: UNLIKELY
Time: 214.13391s
	pornography: UNLIKELY
Time: 215.143652s
	pornography: UNLIKELY
Time: 216.129685s
	pornography: UNLIKELY
Time: 217.012868s
	pornography: UNLIKELY
Time: 218.117588s
	pornography: UNLIKELY
Time: 219.116548s
	pornography: UNLIKELY
Time: 219.947085s
	pornography: UNLIKELY
Time: 220.922635s
	pornography: UNLIKELY
Time: 221.87215s
	pornography: UNLIKELY
Time: 222.749941s
	pornography: UNLIKELY
Time: 223.597132s
	pornography: VERY_UNLIKELY
Time: 224.517935s
	pornography: UNLIKELY
Time: 225.515824s
	pornography: UNLIKELY
Time: 226.318917s
	pornography: VERY_UNLIKELY
Time: 227.445505s
	pornography: VERY_UNLIKELY
Time: 228.281436s
	pornography: UNLIKELY
Time: 229.414923s
	pornography: VERY_UNLIKELY
Time: 230.482749s
