Processing video for explicit content annotations:

Finished processing.
Time: 0.917053s
	pornography: UNLIKELY
Time: 1.8308179999999998s
	pornography: VERY_UNLIKELY
Time: 2.762208s
	pornography: VERY_UNLIKELY
Time: 3.940428s
	pornography: VERY_UNLIKELY
Time: 4.969073s
	pornography: VERY_UNLIKELY
Time: 5.995025s
	pornography: VERY_UNLIKELY
Time: 7.113083s
	pornography: VERY_UNLIKELY
Time: 8.228265s
	pornography: VERY_UNLIKELY
Time: 9.23423s
	pornography: VERY_UNLIKELY
Time: 10.131699s
	pornography: VERY_UNLIKELY
Time: 10.949257s
	pornography: VERY_UNLIKELY
Time: 11.809360999999999s
	pornography: VERY_UNLIKELY
Time: 12.875095s
	pornography: VERY_UNLIKELY
Time: 13.698093s
	pornography: VERY_UNLIKELY
Time: 14.680341s
	pornography: VERY_UNLIKELY
Time: 15.823052s
	pornography: VERY_UNLIKELY
Time: 16.752955s
	pornography: VERY_UNLIKELY
Time: 17.743569s
	pornography: VERY_UNLIKELY
Time: 18.814033s
	pornography: VERY_UNLIKELY
Time: 19.780601s
	pornography: VERY_UNLIKELY
Time: 20.597274s
	pornography: VERY_UNLIKELY
Time: 21.490775s
	pornography: VERY_UNLIKELY
Time: 22.304798s
	pornography: VERY_UNLIKELY
Time: 23.491759s
	pornography: VERY_UNLIKELY
Time: 24.566647s
	pornography: VERY_UNLIKELY
Time: 25.673336s
	pornography: UNLIKELY
Time: 26.872893s
	pornography: VERY_UNLIKELY
Time: 27.942297s
	pornography: VERY_UNLIKELY
Time: 28.916302s
	pornography: VERY_UNLIKELY
Time: 30.113255s
	pornography: VERY_UNLIKELY
Time: 31.010373s
	pornography: VERY_UNLIKELY
Time: 31.970743s
	pornography: UNLIKELY
Time: 32.961826s
	pornography: UNLIKELY
Time: 33.99328s
	pornography: VERY_UNLIKELY
Time: 34.97067s
	pornography: VERY_UNLIKELY
Time: 36.115766s
	pornography: VERY_UNLIKELY
Time: 37.13453s
	pornography: VERY_UNLIKELY
Time: 38.000204s
	pornography: VERY_UNLIKELY
Time: 38.87081s
	pornography: VERY_UNLIKELY
Time: 39.95276s
	pornography: VERY_UNLIKELY
Time: 40.867249s
	pornography: VERY_UNLIKELY
Time: 41.743559s
	pornography: VERY_UNLIKELY
Time: 42.593523s
	pornography: VERY_UNLIKELY
Time: 43.419938s
	pornography: VERY_UNLIKELY
Time: 44.256934s
	pornography: VERY_UNLIKELY
Time: 45.386164s
	pornography: VERY_UNLIKELY
Time: 46.371459s
	pornography: VERY_UNLIKELY
Time: 47.527679s
	pornography: VERY_UNLIKELY
Time: 48.589075s
	pornography: VERY_UNLIKELY
Time: 49.592229s
	pornography: VERY_UNLIKELY
Time: 50.490936s
	pornography: VERY_UNLIKELY
Time: 51.445087s
	pornography: VERY_UNLIKELY
Time: 52.2701s
	pornography: VERY_UNLIKELY
Time: 53.204659s
	pornography: VERY_UNLIKELY
Time: 54.053996s
	pornography: VERY_UNLIKELY
Time: 54.898993s
	pornography: VERY_UNLIKELY
Time: 56.069559s
	pornography: VERY_UNLIKELY
Time: 57.159367s
	pornography: VERY_UNLIKELY
Time: 58.101945s
	pornography: VERY_UNLIKELY
Time: 59.117937s
	pornography: VERY_UNLIKELY
Time: 60.19917s
	pornography: VERY_UNLIKELY
Time: 61.211707s
	pornography: VERY_UNLIKELY
Time: 62.352585s
	pornography: VERY_UNLIKELY
Time: 63.41115s
	pornography: VERY_UNLIKELY
Time: 64.3887s
	pornography: VERY_UNLIKELY
Time: 65.321046s
	pornography: VERY_UNLIKELY
Time: 66.510517s
	pornography: VERY_UNLIKELY
Time: 67.417703s
	pornography: VERY_UNLIKELY
Time: 68.307187s
	pornography: VERY_UNLIKELY
Time: 69.392961s
	pornography: VERY_UNLIKELY
Time: 70.386498s
	pornography: VERY_UNLIKELY
Time: 71.399376s
	pornography: VERY_UNLIKELY
Time: 72.220277s
	pornography: VERY_UNLIKELY
Time: 73.17202s
	pornography: VERY_UNLIKELY
Time: 74.283637s
	pornography: VERY_UNLIKELY
Time: 75.268843s
	pornography: VERY_UNLIKELY
Time: 76.088032s
	pornography: VERY_UNLIKELY
Time: 77.275448s
	pornography: VERY_UNLIKELY
Time: 78.219437s
	pornography: VERY_UNLIKELY
Time: 79.414376s
	pornography: VERY_UNLIKELY
Time: 80.348226s
	pornography: VERY_UNLIKELY
Time: 81.288776s
	pornography: VERY_UNLIKELY
