Processing video for explicit content annotations:

Finished processing.
Time: 0.521235s
	pornography: UNLIKELY
Time: 1.6980979999999999s
	pornography: VERY_UNLIKELY
Time: 2.7533630000000002s
	pornography: UNLIKELY
Time: 3.731832s
	pornography: VERY_UNLIKELY
Time: 4.73594s
	pornography: UNLIKELY
Time: 5.923551s
	pornography: UNLIKELY
Time: 6.883885s
	pornography: VERY_UNLIKELY
Time: 7.970685s
	pornography: VERY_UNLIKELY
Time: 9.153628s
	pornography: UNLIKELY
Time: 9.98339s
	pornography: UNLIKELY
Time: 11.11101s
	pornography: VERY_UNLIKELY
Time: 12.271088s
	pornography: VERY_UNLIKELY
Time: 13.103732s
	pornography: VERY_UNLIKELY
Time: 14.195018s
	pornography: VERY_UNLIKELY
Time: 15.02808s
	pornography: VERY_UNLIKELY
Time: 16.027809s
	pornography: VERY_UNLIKELY
Time: 17.01023s
	pornography: VERY_UNLIKELY
Time: 17.943115s
	pornography: VERY_UNLIKELY
Time: 19.041433s
	pornography: VERY_UNLIKELY
Time: 20.075261s
	pornography: VERY_UNLIKELY
Time: 20.958083s
	pornography: VERY_UNLIKELY
Time: 22.042368s
	pornography: VERY_UNLIKELY
Time: 23.200865s
	pornography: VERY_UNLIKELY
Time: 24.342174s
	pornography: VERY_UNLIKELY
Time: 25.488767s
	pornography: VERY_UNLIKELY
Time: 26.329991s
	pornography: VERY_UNLIKELY
Time: 27.519672s
	pornography: VERY_UNLIKELY
Time: 28.496231s
	pornography: VERY_UNLIKELY
Time: 29.385625s
	pornography: VERY_UNLIKELY
Time: 30.353524s
	pornography: VERY_UNLIKELY
Time: 31.161485s
	pornography: VERY_UNLIKELY
Time: 32.282623s
	pornography: VERY_UNLIKELY
Time: 33.479579s
	pornography: VERY_UNLIKELY
Time: 34.423635s
	pornography: VERY_UNLIKELY
Time: 35.33926s
	pornography: VERY_UNLIKELY
Time: 36.526873s
	pornography: VERY_UNLIKELY
Time: 37.655779s
	pornography: VERY_UNLIKELY
Time: 38.480043s
	pornography: VERY_UNLIKELY
Time: 39.675371s
	pornography: VERY_UNLIKELY
Time: 40.851308s
	pornography: VERY_UNLIKELY
Time: 41.953931s
	pornography: VERY_UNLIKELY
Time: 42.989311s
