Processing video for explicit content annotations:

Finished processing.
Time: 0.114017s
	pornography: VERY_UNLIKELY
Time: 1.088189s
	pornography: VERY_UNLIKELY
Time: 2.008321s
	pornography: VERY_UNLIKELY
Time: 3.069442s
	pornography: VERY_UNLIKELY
Time: 4.080658s
	pornography: VERY_UNLIKELY
Time: 4.952554s
	pornography: VERY_UNLIKELY
Time: 5.767577s
	pornography: UNLIKELY
Time: 6.868283s
	pornography: UNLIKELY
Time: 7.688546s
	pornography: VERY_UNLIKELY
Time: 8.780373s
	pornography: VERY_UNLIKELY
Time: 9.684255s
	pornography: VERY_UNLIKELY
Time: 10.83131s
	pornography: VERY_UNLIKELY
Time: 11.798086s
	pornography: VERY_UNLIKELY
Time: 12.748979s
	pornography: VERY_UNLIKELY
Time: 13.600263s
	pornography: VERY_UNLIKELY
Time: 14.643225s
	pornography: VERY_UNLIKELY
Time: 15.580373999999999s
	pornography: VERY_UNLIKELY
Time: 16.76078s
	pornography: VERY_UNLIKELY
Time: 17.860983s
	pornography: VERY_UNLIKELY
Time: 18.867021s
	pornography: VERY_UNLIKELY
Time: 19.824854s
	pornography: VERY_UNLIKELY
Time: 20.748776s
	pornography: VERY_UNLIKELY
Time: 21.587552s
	pornography: VERY_UNLIKELY
Time: 22.394542s
	pornography: VERY_UNLIKELY
Time: 23.273916s
	pornography: VERY_UNLIKELY
Time: 24.447825s
	pornography: VERY_UNLIKELY
Time: 25.329613s
	pornography: VERY_UNLIKELY
Time: 26.348081s
	pornography: VERY_UNLIKELY
Time: 27.406091s
	pornography: VERY_UNLIKELY
Time: 28.474584s
	pornography: VERY_UNLIKELY
Time: 29.366943s
	pornography: VERY_UNLIKELY
Time: 30.200705s
	pornography: VERY_UNLIKELY
Time: 31.194185s
	pornography: UNLIKELY
Time: 32.316728s
	pornography: UNLIKELY
Time: 33.358418s
	pornography: UNLIKELY
Time: 34.362543s
	pornography: UNLIKELY
Time: 35.468409s
	pornography: VERY_UNLIKELY
Time: 36.45683s
	pornography: VERY_UNLIKELY
Time: 37.583489s
	pornography: VERY_UNLIKELY
Time: 38.485832s
	pornography: VERY_UNLIKELY
Time: 39.670597s
	pornography: VERY_UNLIKELY
Time: 40.753948s
	pornography: VERY_UNLIKELY
Time: 41.556945s
	pornography: VERY_UNLIKELY
Time: 42.620785s
	pornography: VERY_UNLIKELY
Time: 43.547096s
	pornography: VERY_UNLIKELY
Time: 44.690633s
	pornography: VERY_UNLIKELY
Time: 45.875697s
	pornography: VERY_UNLIKELY
Time: 46.95616s
	pornography: VERY_UNLIKELY
Time: 48.021522s
	pornography: VERY_UNLIKELY
Time: 49.040736s
	pornography: VERY_UNLIKELY
Time: 50.110219s
	pornography: VERY_UNLIKELY
Time: 51.244494s
	pornography: VERY_UNLIKELY
Time: 52.236472s
	pornography: VERY_UNLIKELY
Time: 53.278114s
	pornography: VERY_UNLIKELY
Time: 54.092771s
	pornography: UNLIKELY
Time: 54.998526s
	pornography: UNLIKELY
Time: 56.174478s
	pornography: UNLIKELY
Time: 56.976906s
	pornography: VERY_UNLIKELY
Time: 58.133494s
	pornography: VERY_UNLIKELY
Time: 59.245464s
	pornography: UNLIKELY
Time: 60.162622s
	pornography: VERY_UNLIKELY
Time: 61.032215s
	pornography: VERY_UNLIKELY
Time: 62.049004s
	pornography: VERY_UNLIKELY
Time: 63.218921s
	pornography: VERY_UNLIKELY
Time: 64.046163s
	pornography: UNLIKELY
Time: 64.981059s
	pornography: UNLIKELY
Time: 66.075171s
	pornography: UNLIKELY
Time: 67.128602s
	pornography: UNLIKELY
Time: 67.99456s
	pornography: UNLIKELY
Time: 69.119343s
	pornography: UNLIKELY
Time: 69.988559s
	pornography: UNLIKELY
Time: 70.952036s
	pornography: UNLIKELY
Time: 72.045916s
	pornography: UNLIKELY
Time: 73.107292s
	pornography: VERY_UNLIKELY
Time: 74.177045s
	pornography: POSSIBLE
Time: 75.262961s
	pornography: VERY_UNLIKELY
Time: 76.21207s
	pornography: VERY_UNLIKELY
Time: 77.068506s
	pornography: UNLIKELY
Time: 77.901887s
	pornography: UNLIKELY
Time: 78.990402s
	pornography: UNLIKELY
Time: 79.898444s
	pornography: VERY_UNLIKELY
Time: 80.984064s
	pornography: UNLIKELY
Time: 81.990139s
	pornography: VERY_UNLIKELY
Time: 83.128639s
	pornography: VERY_UNLIKELY
Time: 84.227397s
	pornography: VERY_UNLIKELY
Time: 85.072558s
	pornography: VERY_UNLIKELY
Time: 86.248753s
	pornography: VERY_UNLIKELY
Time: 87.338203s
	pornography: VERY_UNLIKELY
Time: 88.390409s
	pornography: VERY_UNLIKELY
Time: 89.230959s
	pornography: UNLIKELY
Time: 90.150762s
	pornography: POSSIBLE
Time: 91.05642s
	pornography: UNLIKELY
Time: 91.97772s
	pornography: UNLIKELY
Time: 92.944804s
	pornography: UNLIKELY
Time: 93.975976s
	pornography: VERY_UNLIKELY
Time: 94.826573s
	pornography: VERY_UNLIKELY
Time: 95.886444s
	pornography: VERY_UNLIKELY
Time: 96.813623s
	pornography: VERY_UNLIKELY
Time: 97.988717s
	pornography: VERY_UNLIKELY
Time: 98.982632s
	pornography: VERY_UNLIKELY
Time: 100.022386s
	pornography: VERY_UNLIKELY
Time: 101.197908s
	pornography: VERY_UNLIKELY
Time: 102.344954s
	pornography: VERY_UNLIKELY
Time: 103.233757s
	pornography: VERY_UNLIKELY
Time: 104.157292s
	pornography: VERY_UNLIKELY
Time: 105.113923s
	pornography: VERY_UNLIKELY
Time: 106.188559s
	pornography: VERY_UNLIKELY
Time: 107.060151s
	pornography: VERY_UNLIKELY
Time: 107.975206s
	pornography: VERY_UNLIKELY
Time: 109.149414s
	pornography: VERY_UNLIKELY
Time: 110.155294s
	pornography: VERY_UNLIKELY
Time: 111.043262s
	pornography: VERY_UNLIKELY
Time: 112.213048s
	pornography: VERY_UNLIKELY
Time: 113.278791s
	pornography: UNLIKELY
Time: 114.270272s
	pornography: VERY_UNLIKELY
Time: 115.219508s
	pornography: VERY_UNLIKELY
Time: 116.345635s
	pornography: VERY_UNLIKELY
Time: 117.251942s
	pornography: VERY_UNLIKELY
Time: 118.193444s
	pornography: VERY_UNLIKELY
Time: 119.243496s
	pornography: VERY_UNLIKELY
Time: 120.193445s
	pornography: VERY_UNLIKELY
Time: 121.168333s
	pornography: VERY_UNLIKELY
Time: 122.004608s
	pornography: VERY_UNLIKELY
Time: 122.980161s
	pornography: VERY_UNLIKELY
Time: 124.152245s
	pornography: VERY_UNLIKELY
Time: 125.196572s
	pornography: VERY_UNLIKELY
Time: 126.301713s
	pornography: VERY_UNLIKELY
Time: 127.431783s
	pornography: VERY_UNLIKELY
Time: 128.591518s
	pornography: VERY_UNLIKELY
Time: 129.694314s
	pornography: VERY_UNLIKELY
Time: 130.566882s
	pornography: UNLIKELY
Time: 131.401093s
	pornography: VERY_UNLIKELY
Time: 132.523818s
	pornography: VERY_UNLIKELY
Time: 133.637198s
	pornography: VERY_UNLIKELY
Time: 134.598806s
	pornography: VERY_UNLIKELY
Time: 135.535156s
	pornography: VERY_UNLIKELY
Time: 136.371355s
	pornography: VERY_UNLIKELY
Time: 137.512916s
	pornography: VERY_UNLIKELY
Time: 138.66112s
	pornography: VERY_UNLIKELY
Time: 139.813011s
	pornography: VERY_UNLIKELY
Time: 140.714497s
	pornography: VERY_UNLIKELY
Time: 141.735289s
	pornography: VERY_UNLIKELY
Time: 142.748251s
	pornography: VERY_UNLIKELY
Time: 143.82298s
	pornography: VERY_UNLIKELY
Time: 144.638057s
	pornography: VERY_UNLIKELY
Time: 145.529731s
	pornography: VERY_UNLIKELY
Time: 146.695184s
	pornography: VERY_UNLIKELY
Time: 147.808963s
	pornography: VERY_UNLIKELY
Time: 148.998032s
	pornography: VERY_UNLIKELY
Time: 149.862272s
	pornography: VERY_UNLIKELY
Time: 150.809108s
	pornography: VERY_UNLIKELY
Time: 151.699932s
	pornography: VERY_UNLIKELY
Time: 152.708091s
	pornography: VERY_UNLIKELY
Time: 153.786009s
	pornography: VERY_UNLIKELY
Time: 154.876074s
	pornography: VERY_UNLIKELY
Time: 155.82215s
	pornography: VERY_UNLIKELY
Time: 156.636125s
	pornography: VERY_UNLIKELY
Time: 157.591159s
	pornography: VERY_UNLIKELY
Time: 158.67141s
	pornography: VERY_UNLIKELY
Time: 159.746098s
	pornography: VERY_UNLIKELY
Time: 160.74534s
	pornography: VERY_UNLIKELY
Time: 161.824275s
	pornography: VERY_UNLIKELY
Time: 162.857834s
	pornography: VERY_UNLIKELY
Time: 164.005558s
	pornography: VERY_UNLIKELY
Time: 165.095153s
	pornography: VERY_UNLIKELY
Time: 166.063194s
	pornography: VERY_UNLIKELY
Time: 166.896953s
	pornography: VERY_UNLIKELY
Time: 168.057395s
	pornography: VERY_UNLIKELY
Time: 168.959012s
	pornography: VERY_UNLIKELY
Time: 169.825711s
	pornography: VERY_UNLIKELY
Time: 170.969351s
	pornography: VERY_UNLIKELY
Time: 171.851765s
	pornography: VERY_UNLIKELY
Time: 172.719098s
	pornography: VERY_UNLIKELY
Time: 173.560453s
	pornography: VERY_UNLIKELY
Time: 174.539009s
	pornography: VERY_UNLIKELY
Time: 175.448289s
	pornography: VERY_UNLIKELY
Time: 176.449488s
	pornography: VERY_UNLIKELY
Time: 177.558284s
	pornography: VERY_UNLIKELY
Time: 178.662919s
	pornography: VERY_UNLIKELY
Time: 179.604707s
	pornography: VERY_UNLIKELY
Time: 180.454118s
	pornography: VERY_UNLIKELY
Time: 181.347313s
	pornography: VERY_UNLIKELY
Time: 182.365956s
	pornography: VERY_UNLIKELY
Time: 183.418196s
	pornography: VERY_UNLIKELY
Time: 184.492785s
	pornography: VERY_UNLIKELY
Time: 185.462577s
	pornography: VERY_UNLIKELY
Time: 186.650008s
	pornography: VERY_UNLIKELY
Time: 187.843661s
	pornography: VERY_UNLIKELY
Time: 188.658653s
	pornography: VERY_UNLIKELY
Time: 189.848442s
	pornography: VERY_UNLIKELY
Time: 190.843243s
	pornography: VERY_UNLIKELY
Time: 191.757237s
	pornography: VERY_UNLIKELY
Time: 192.688439s
	pornography: VERY_UNLIKELY
Time: 193.733005s
	pornography: VERY_UNLIKELY
Time: 194.709539s
	pornography: VERY_UNLIKELY
Time: 195.677378s
	pornography: VERY_UNLIKELY
Time: 196.492797s
	pornography: VERY_UNLIKELY
Time: 197.583564s
	pornography: VERY_UNLIKELY
Time: 198.40883s
	pornography: VERY_UNLIKELY
Time: 199.374458s
	pornography: VERY_UNLIKELY
Time: 200.471191s
	pornography: VERY_UNLIKELY
Time: 201.568725s
	pornography: UNLIKELY
Time: 202.670086s
	pornography: UNLIKELY
Time: 203.502918s
	pornography: UNLIKELY
Time: 204.638816s
	pornography: UNLIKELY
Time: 205.531256s
	pornography: UNLIKELY
Time: 206.48276s
	pornography: VERY_UNLIKELY
Time: 207.558475s
	pornography: VERY_UNLIKELY
Time: 208.442248s
	pornography: VERY_UNLIKELY
Time: 209.27566s
	pornography: UNLIKELY
Time: 210.207079s
	pornography: VERY_UNLIKELY
Time: 211.33767s
	pornography: VERY_UNLIKELY
Time: 212.394653s
	pornography: UNLIKELY
Time: 213.481674s
