Processing video for explicit content annotations:

Finished processing.
Time: 0.093184s
	pornography: VERY_UNLIKELY
Time: 1.204556s
	pornography: VERY_UNLIKELY
Time: 2.294466s
	pornography: VERY_UNLIKELY
Time: 3.399434s
	pornography: VERY_UNLIKELY
Time: 4.275288s
	pornography: VERY_UNLIKELY
Time: 5.193442s
	pornography: VERY_UNLIKELY
Time: 6.21123s
	pornography: VERY_UNLIKELY
Time: 7.370338s
	pornography: VERY_UNLIKELY
Time: 8.50567s
	pornography: VERY_UNLIKELY
Time: 9.551114s
	pornography: VERY_UNLIKELY
Time: 10.702718s
	pornography: UNLIKELY
Time: 11.618279s
	pornography: VERY_UNLIKELY
Time: 12.61738s
	pornography: VERY_UNLIKELY
Time: 13.688288s
	pornography: VERY_UNLIKELY
Time: 14.801381s
	pornography: VERY_UNLIKELY
Time: 15.771915s
	pornography: VERY_UNLIKELY
Time: 16.968315s
	pornography: VERY_UNLIKELY
Time: 18.147279s
	pornography: VERY_UNLIKELY
Time: 19.078052s
	pornography: VERY_UNLIKELY
Time: 20.193443s
	pornography: VERY_UNLIKELY
Time: 21.012731s
	pornography: VERY_UNLIKELY
Time: 21.968658s
	pornography: VERY_UNLIKELY
Time: 23.068078s
	pornography: VERY_UNLIKELY
Time: 24.207835s
	pornography: VERY_UNLIKELY
Time: 25.309868s
	pornography: VERY_UNLIKELY
Time: 26.198955s
	pornography: VERY_UNLIKELY
Time: 27.160602s
	pornography: VERY_UNLIKELY
Time: 28.305905s
	pornography: VERY_UNLIKELY
Time: 29.390974s
	pornography: VERY_UNLIKELY
Time: 30.460921s
	pornography: VERY_UNLIKELY
Time: 31.385626s
	pornography: VERY_UNLIKELY
Time: 32.406496s
	pornography: VERY_UNLIKELY
Time: 33.356566s
	pornography: VERY_UNLIKELY
Time: 34.186463s
	pornography: VERY_UNLIKELY
Time: 35.21487s
	pornography: VERY_UNLIKELY
Time: 36.113216s
	pornography: VERY_UNLIKELY
Time: 37.057471s
	pornography: VERY_UNLIKELY
Time: 38.207823s
	pornography: UNLIKELY
Time: 39.053987s
	pornography: VERY_UNLIKELY
Time: 39.860423s
	pornography: VERY_UNLIKELY
Time: 40.858926s
	pornography: VERY_UNLIKELY
Time: 42.011767s
	pornography: UNLIKELY
Time: 43.140803s
	pornography: UNLIKELY
Time: 44.292899s
	pornography: UNLIKELY
Time: 45.153425s
